species,n_records,n_presence_patches,auc_mean,auc_std,accuracy_mean,precision_mean,recall_mean,f1_mean,mcc_mean,kappa_mean,tss_mean
Phlomis fruticosa,56,26,0.9925,0.01499999999999999,0.9709523809523809,1.0,0.8800000000000001,0.9333333333333332,0.9202938132667375,0.9150527325023969,0.8800000000000001
Acalypha virginica,45,39,0.9922748447204969,0.006598059381748066,0.9487903225806452,0.9083333333333334,0.9,0.8963305322128852,0.8692343403788346,0.8627150336877026,0.8663043478260871
Amaranthus deflexus,62,38,0.988565782044043,0.006428274464464041,0.9341935483870968,0.925,0.8142857142857143,0.8535497835497836,0.8235128453335088,0.8120821382557584,0.787803500846979
Viola dubyana,94,50,0.9879999999999999,0.01641137816678823,0.945,0.9288461538461539,0.86,0.8861937452326469,0.8572553170248159,0.8503358710255261,0.8333333333333333
Koeleria spicata,44,26,0.9875,0.024999999999999998,0.9519047619047619,0.9,0.9333333333333332,0.9054545454545455,0.8833298091003872,0.8740253411306043,0.8949999999999999
Pistacia terebinthus,57,26,0.984888888888889,0.020959690884536128,0.9609523809523809,1.0,0.8466666666666667,0.9095959595959595,0.8958424365733617,0.8857122154896793,0.8466666666666669
Oplismenus undulatifolius,91,69,0.9839772306671261,0.012927006512741068,0.9238961038961039,0.919047619047619,0.7846153846153847,0.8325835084455774,0.799026025589947,0.7849247725344061,0.75581166800679
Nandina domestica,869,476,0.9835018004463988,0.00272339250840677,0.9495786710871668,0.8911390190565449,0.9096929824561404,0.900196344274727,0.8666653131087247,0.8664749218126804,0.8725834253465832
Plumbago auriculata,66,31,0.9833333333333334,0.033333333333333305,0.9426666666666665,0.925,0.8714285714285716,0.891108891108891,0.858602518296036,0.8527414841262182,0.8380952380952381
Iris japonica,246,149,0.9824113536240618,0.01112986297570066,0.934593837535014,0.8813506493506493,0.8595402298850574,0.8680493477601375,0.8266686370474906,0.8246852190220915,0.8193654483619615
Ligustrum sinense,302,205,0.9806464406107477,0.007602318541831743,0.947560975609756,0.8890822213190634,0.9073170731707316,0.8959691908682208,0.8629447888675591,0.8610060954101654,0.8682926829268294
Sedum palmeri,66,58,0.9806238859180034,0.019689162312376992,0.9656799259944495,0.9417582417582417,0.9303030303030303,0.9334874980092372,0.9126260480225452,0.9104180592449387,0.9074458874458875
Senecio abrotanifolius,26,21,0.980448717948718,0.017212463566791722,0.8816176470588235,0.9,0.72,0.7595238095238095,0.726067882870739,0.6874833219712091,0.6584615384615384
Eleusine indica,28,27,0.9804166666666667,0.023333333333333338,0.8974025974025974,0.8761904761904761,0.7133333333333333,0.76,0.7240094753227042,0.6994627512322154,0.6758333333333333
Oreochloa disticha,43,24,0.9803809523809525,0.01696842472481531,0.9378947368421052,0.9428571428571428,0.8400000000000001,0.8722222222222221,0.847653038224076,0.8323450054631811,0.8114285714285714
Viola cenisia,35,24,0.9799047619047621,0.014216977490999714,0.9168421052631579,0.8742857142857142,0.8300000000000001,0.8425396825396826,0.7941278257829405,0.7865941161122099,0.7738095238095238
Polygala nicaeensis,101,54,0.9795695592286501,0.007279663192352886,0.9258985200845666,0.9436363636363637,0.76,0.8368193210298474,0.8011031513183671,0.7898649391945349,0.7412500000000002
Primula daonensis,101,52,0.979550953079179,0.011163217604624855,0.9326364692218352,0.8812626262626262,0.849090909090909,0.8592784992784992,0.8201965321254512,0.8153874456512341,0.8105828445747802
Buphthalmum speciosissimum,82,41,0.9794768518518518,0.01578840550167506,0.877840909090909,0.9,0.6083333333333333,0.7015695415695415,0.6655501089599822,0.6314551600392289,0.5763333333333333
Ligustrum lucidum,108,81,0.9787205507202881,0.006441332751550325,0.9383173076923077,0.9057189542483659,0.8507352941176471,0.8654935064935065,0.8352740508347317,0.8264727429041298,0.8177420968387356
Tradescantia pallida,41,25,0.9786666666666667,0.018086213288334013,0.95,0.9333333333333333,0.8800000000000001,0.8969696969696969,0.872382083745942,0.8642857142857142,0.8533333333333333
Orobanche artemisiae-campestris,31,23,0.9785714285714286,0.028571428571428557,0.9029239766081872,0.7333333333333333,0.71,0.7092063492063492,0.690896115984773,0.6806522310861751,0.6814285714285714
Pedicularis rostratocapitata,276,148,0.9783593979312692,0.014639500555926702,0.949323458196838,0.913008668452217,0.8850574712643677,0.8977180078218236,0.8651649238818081,0.8640686532246942,0.8557163068108438
